"-- Please Select --","-- בחר מהרשימה --"
"Account Registration","חשבון - הרשמה"
"All fields of script types have to be filled.","כל השדות של סוגי סקריפט צריכים להיות מלאים."
"Attributes","תכונות"
"Category View Optimization","Category View Optimization"
"Control Script","Control Script"
"Conversion Page","דף המרות"
"Conversion Page URL","כתובת דף המרות"
"Conversion Script","סקריפט המרות"
"Enable","אפשר"
"Google Optimizer Scripts","Google Optimizer Scripts"
"Google Website Optimizer","Google Website Optimizer"
"Install Scripts","התקן סקריפטים"
"Limit is 8 attributes only.","Limit is 8 attributes only."
"Multi Address Checkout","Multi Address Checkout"
"One Page Checkout","One Page Checkout"
"Order Success (Multi Address Checkout)","Order Success (Multi Address Checkout)"
"Order Success (One Page Checkout)","Order Success (One Page Checkout)"
"Original Page","Original Page"
"Other","Other"
"Page Type","Page Type"
"Page View Optimization","Page View Optimization"
"Please copy and paste this value to experiment edit form","Please copy and paste this value to experiment edit form"
"Please select store view to see the URL","Please select store view to see the URL"
"Product View Optimization","Product View Optimization"
"Scripts Install URL","Scripts Install URL"
"Shopping Cart","סל קניות"
"Tracking Script","Tracking Script"
"Use Default","השתמש בברית המחדל"
"Use Default Values","Use Default Values"
"Variant Page","Variant Page"
